,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,description,website,market_cap,net_income_before_eo
1814,NSSC US Equity,"NAPCO Security Technologies, Inc.",5.36,$102.24M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/nssc,na,na,0,0
1815,NATH US Equity,"Nathan&#39;s Famous, Inc.",76.25,$342.87M,1993,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/nath,na,na,0,0
1816,NAUH US Equity,"National American University Holdings, Inc.",3.2716,$82.39M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/nauh,na,na,0,0
1817,NKSH US Equity,"National Bankshares, Inc.",29.72,$206.57M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/nksh,na,na,0,0
1818,FIZZ US Equity,National Beverage Corp.,22.5,$1.04B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/fizz,na,na,0,0
1819,NCMI US Equity,"National CineMedia, Inc.",15,$913.06M,2007,Consumer Services,Advertising,http://www.nasdaq.com/symbol/ncmi,na,na,0,0
1820,NGHC US Equity,National General Holdings Corp,18.4,$1.72B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/nghc,na,na,0,0
1821,NGHCP US Equity,National General Holdings Corp,25.62,$56.36M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/nghcp,na,na,0,0
1822,NATI US Equity,National Instruments Corporation,31.3,$3.99B,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/nati,na,na,0,0
1823,NATL US Equity,National Interstate Corporation,26.19,$518.07M,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/natl,na,na,0,0
1824,NPBC US Equity,"National Penn Bancshares, Inc.",10.64,$1.57B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/npbc,na,na,0,0
1825,NRCIA US Equity,National Research Corporation,14.04,$342.21M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/nrcia,na,na,0,0
1826,NRCIB US Equity,National Research Corporation,33.02,$804.84M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/nrcib,na,na,0,0
1827,NSEC US Equity,"National Security Group, Inc.",13.11,$32.87M,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/nsec,na,na,0,0
1828,NWLI US Equity,National Western Life Insurance Company,252.91,$919.62M,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/nwli,na,na,0,0
1829,NAII US Equity,"Natural Alternatives International, Inc.",5.28,$36.53M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/naii,na,na,0,0
1830,NHTC US Equity,Natural Health Trends Corp.,13.5,$172.84M,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/nhtc,na,na,0,0
